sku,rmsse,weight,weighted_error,active_days,total_qty,last_7_qty,last_28_qty,last_56_qty,last_84_qty
SKU-00003,1.4709828698700511,0.0953659567864562,0.1402816888016446,1042,10579.0,82.0,272.0,566.0,831.0
SKU-00002,1.1559093489201793,0.04668249451558027,0.05396073184147423,875,5796.0,59.0,226.0,466.0,648.0
SKU-15599,3.377638925014595,0.0027003488372083443,0.009120803343672804,865,15549.0,97.0,231.0,361.0,555.0
SKU-14323,0.9743404431267446,0.0054123136623681475,0.005273436092132715,816,17306.0,61.0,715.0,1063.0,1437.0
SKU-14763,2.675548608624902,0.0014407137990535758,0.0038546998004844917,420,4602.0,0.0,47.0,279.0,403.0
SKU-14320,0.7305208717394921,0.005129966155808241,0.0037475473481351274,873,15075.0,65.0,522.0,721.0,1226.0
SKU-03351,2.373413990330151,0.0014758536205394615,0.003502811630667764,137,7515.0,0.0,0.0,5.0,5.0
SKU-01074,3.463489078515292,0.0008446048605418462,0.002925279710147616,858,4248.0,0.0,0.0,0.0,5.0
SKU-14303,1.3109211199402695,0.0021041689278149377,0.0027583994873946745,570,8387.0,40.0,121.0,237.0,609.0
SKU-05957,2.37516218534136,0.0010444022504924203,0.0024806247316550116,69,79.0,0.0,0.0,0.0,3.0
SKU-00375,1.1016383115121267,0.002045001133229257,0.002252851595451064,648,2106.0,0.0,1.0,61.0,97.0
SKU-03143,0.697811058771393,0.0029766655444896525,0.0020771501352086497,845,4279.0,0.0,-1.0,-1.0,-1.0
SKU-09691,1.9401502068630594,0.0010540775444802958,0.0020450687659731514,157,484.0,0.0,0.0,0.0,0.0
SKU-06651,1.570025168113644,0.0011598678160328246,0.0018210216628565404,626,4523.0,19.0,82.0,191.0,266.0
SKU-14644,0.9195178660457842,0.0019730503425841126,0.0018142550406138468,632,3846.0,11.0,114.0,191.0,258.0
SKU-14747,1.4098822811730656,0.001268858834958245,0.0017889415887175288,489,3770.0,34.0,81.0,198.0,317.0
SKU-14838,1.7346934699335734,0.0009915847452939609,0.0017200955825471796,355,2698.0,14.0,68.0,216.0,259.0
SKU-12534,0.23769209762153715,0.0071143776649533275,0.0016910313504545698,645,28191.0,112.0,244.0,505.0,1811.0
SKU-08863,0.443781944902213,0.0037666214266413737,0.001671558582425257,698,16291.0,10.0,559.0,739.0,789.0
SKU-02506,1.8373188790134134,0.0008598602307722514,0.0015798374353106878,197,311.0,6.0,23.0,46.0,73.0
SKU-12537,0.24185499306831498,0.006506783307188656,0.0015736980316571401,673,23992.0,66.0,322.0,564.0,1539.0
SKU-14730,0.6039411173223149,0.002575304660217921,0.0015553323739373758,661,8137.0,14.0,65.0,212.0,287.0
SKU-09771,1.1890237899022826,0.0012684582850633283,0.0015082270774389485,335,1262.0,4.0,24.0,54.0,54.0
SKU-15974,1.076803359705966,0.0013934863629258727,0.0015005107973030268,635,3395.0,18.0,110.0,277.0,360.0
SKU-05533,3.501161606169943,0.0004261536208465644,0.0014920326956382943,101,102.0,1.0,3.0,4.0,7.0
SKU-14647,0.7832764978521904,0.001887600608812677,0.0014785131942144562,556,3742.0,10.0,143.0,282.0,337.0
SKU-00345,1.3090241643053,0.0011192648041579848,0.0014651446748992413,85,1106.0,47.0,242.0,396.0,518.0
SKU-10532,0.4808514779628878,0.0029813174969383796,0.001433570924679437,365,2801.0,0.0,90.0,146.0,270.0
SKU-09760,0.20307695587673943,0.006966646141550487,0.0014147652910965053,968,218083.0,244.0,2170.0,5947.0,9061.0
SKU-06833,2.3845019696385252,0.000565060827128787,0.001347388655254167,64,740.0,10.0,318.0,397.0,589.0
SKU-10859,1.9056668569672948,0.0007035769768177756,0.0013407833260468817,329,1661.0,0.0,0.0,2.0,11.0
SKU-07573,0.7770563505997122,0.0016852455921217535,0.001309530789678381,432,1277.0,1.0,18.0,40.0,66.0
SKU-15283,2.0531835921144546,0.0006367960315426695,0.0013074591634870078,295,4118.0,62.0,367.0,465.0,465.0
SKU-09698,0.5820536478123413,0.0022366903956438223,0.0013018738038113155,368,1305.0,0.0,0.0,0.0,11.0
SKU-04882,0.47386151907350915,0.002697583306401256,0.0012782809233986385,371,5218.0,1.0,121.0,215.0,437.0
SKU-06689,2.4036351199355903,0.0005316427958827839,0.0012778752954446077,65,698.0,9.0,291.0,371.0,546.0
SKU-14888,0.7059314207704429,0.0017883520222454334,0.0012624538839014134,507,4911.0,28.0,79.0,130.0,238.0
SKU-14872,0.7319655526704466,0.0017123935436881078,0.0012534130865949704,604,4810.0,10.0,29.0,77.0,141.0
SKU-13552,1.9027234105421014,0.0006375622333949645,0.0012131045871581062,326,1434.0,9.0,96.0,185.0,219.0
SKU-03663,2.676479889408471,0.00045169568140278137,0.0012089544074072001,385,940.0,0.0,0.0,7.0,21.0
SKU-09622,0.5849342903689979,0.001997183429911728,0.001168221072312138,800,3828.0,7.0,174.0,200.0,200.0
SKU-14741,0.577311777766622,0.001950701638057319,0.0011261630305591324,628,4815.0,38.0,102.0,199.0,280.0
SKU-09647,0.49446134171753053,0.0022050817939779227,0.0010903277024472229,850,3889.0,18.0,70.0,145.0,338.0
SKU-11398,1.473294091645105,0.0007396598922835724,0.001089736549128242,425,3409.0,151.0,507.0,507.0,507.0
SKU-02819,0.693129545570939,0.0015598190445271273,0.0010811566655059839,400,955.0,6.0,56.0,111.0,138.0
SKU-10117,0.8652711372650883,0.0012407718555462641,0.0010736040745350298,174,3414.0,36.0,506.0,551.0,956.0
SKU-02676,2.4046876589854262,0.0004348425354068499,0.0010456604784947851,215,247.0,1.0,4.0,12.0,17.0
SKU-15172,0.7758655204570174,0.0013351583443850215,0.0010359033237588144,756,6618.0,2.0,195.0,317.0,396.0
SKU-00208,0.9072361943417769,0.0011328677222027946,0.0010277786009839007,327,1077.0,10.0,18.0,45.0,101.0
